嗷呜	\t┗<(=｀O′=)>┛
膜拜	ｍ<(＿　＿)>ｍ
抱抱	<(=′▽')爻 (`▽｀=)> <(=*′д｀)爻(′д｀*=)>
枪毙	▄︻┻┳═一…… ☆<(=￣□￣=!)>
爆笑	o<(*≧▽≦)>ツ
射击	<(!=￣□￣)ｏ―∈‥oo━━━━━━━☆
呃	<(ˉ▽ˉ；=)>
苦恼	o<<(≧口≦)>>o
难受	o<(=′益`=)>o
bingo	<(=o゜▽゜)o☆[BINGO!]
鄙视	<(=￢_￢=)>
鼻涕	<(=￣ ‘i ￣=)> <(=￣ii￣=)><(=￣＂￣=)>
肥胖	<(=￣)ε(￣=)>
不懂	<(=＠_＠;=)?>
不关我事	ㄟ<(=▔.▔=)>ㄏ
切	(￣_,￣ =)>
不要	°.°·(((p<(≧□≦)>;q)))·°.°。
摇头	<(=￣ε￣ = ￣3￣=)>
财神	<(=o′┏▽┓｀o=)>
惨了	<(=X﹏X=)>
擦眼泪	<(ノへ￣、=)>
蹭	<(≧︶)￣▽￣=)>ゞ
笑	<(≧▽≦)>
吃药	<(。=>︿<)_θ 吃药
冲	ε=ε=~\<(= ￣皿￣)/~	
自信	ヾ(′▽｀=)>ゝ
抹泪	<(=ノへ￣ =)>
抽烟	<(=￣c￣)y▂ξ。。。 抽烟
翻墙	ε=ε┣G┻F┳ε=ヽ<(=￣▽￣)ノ┻W┫
臭脸	<(=～￣▽￣)→)￣▽￣=)>o
啜	→)╥﹏╥=)>
魔法	<( =￣▽￣)o ─═≡※:☆▆▅▄▃▂＿
哦	<(=°ο°=)>
口水	<(=￣﹃￣=)>
淡定	<(=￣.￣=)>
哼哼	<(=ˉ^ˉ=)>
pia	Pia!<(=ｏ ‵-′)ノ☆ ☆乀(‵-′ ｏ=)> Pia! Pia! ☆乀<(=‵-′=)>ノ☆ Pia!
得意	～(￣▽￣～=)><(=～￣▽￣)～ <(=￣ˇ￣)/
攻击	<(= ￣O￣=)ノノ……∞∞OOO)))
点头	<(=￣ー￣<(＿＿<(=￣ー￣<(＿＿
跌倒	<(o＿＿)o彡☆
颤抖	o<(=⊙﹏⊙=)>︴o
对不起	<(＿　＿)>
防御	||┣(—_＼=)>
摸摸头	( ´･･)ﾉ(._.`)
肚子	o(￣ε￣=)> <(=○｀3′○) o(￣ε￣*) [嘟嘴] （○｀ 3′○） [嘟嘴]
呆	<(=⊙_⊙=)> (￣△￣；) (￣旦￣；) ━┳━　━┳━
面壁	<(=￣_￣)σ…<( ＿ ＿)ノ｜
饭桌	<(=╯′皿｀)╯ ┫:·'∵:.┻┻:·'.:┣∵·:. ┳┳☆ ┻━┻︵╰<(=‵Д′=)>╯︵┻━┻ <(=╯‵Д′)╯""┻━┻☆))>○<) <(=┘￣Д￣)┘╧═╧
飞	︿<(=￣︶￣=)>︿ ～o=(`▽｀o=)>~=3=3=3 ︿(￣︶￣)︿
飞吻	<(=￣3￣)╭❤
影分身	((<(≧<(≧▽<(≧▽≦<(≧▽≦)>≧▽≦)>▽≦)>≦)>))
干杯 	<(=￣▽￣=)>～■☆□～<(=￣▽￣=)> []~<(=￣▽￣~=)>
谈天	<(=*`▽')u┳━┳ｄ('▽`*=)>
是他	<(=σ'ω')σ <(=σ′д｀)σ
乖宝宝	o<(=*^＠^*=)>o
