# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	962
#@/user_id	97631081-f126-4c62-b0b0-660be01aa7ba
a 	啊	c=1 d=0.263158 t=962
a li ba ba 	阿里巴巴	c=1 d=1 t=914
an 	按	c=1 d=1 t=714
an jian 	按鍵	c=8 d=7.60872 t=657
an jian 	案件	c=1 d=1 t=637
an li 	案例	c=3 d=1.69792 t=962
an xin 	安心	c=0 d=0.1 t=652
an xin jian 	安心見	c=1 d=1 t=653
an zhuang 	安裝	c=1 d=0.451581 t=962
ba gu wen 	八股文	c=1 d=0.50409 t=962
ban 	版	c=0 d=0.0470011 t=962
ban jiao 	半角	c=1 d=1 t=887
ban quan 	©️	c=1 d=1 t=943
bao cun 	保存	c=2 d=1.06009 t=962
bao han 	包含	c=2 d=0.618783 t=962
bei fen 	備份	c=1 d=1 t=945
bei zhu 	備註	c=1 d=1 t=830
ben 	本	c=1 d=1 t=949
ben di 	本地	c=1 d=0.329559 t=962
bi 	比	c=2 d=1.1513 t=962
bi 	逼	c=0 d=0.1 t=914
bi ji 	筆記	c=2 d=1.03632 t=962
bi jiao 	比較	c=1 d=0.50409 t=962
bian ji 	編輯	c=3 d=1.0042 t=962
bian ji qi 	編輯器	c=1 d=0.32628 t=962
bian ma 	編碼	c=1 d=0.440432 t=962
biao dian 	標點	c=1 d=1 t=872
biao qian 	標籤	c=2 d=1.99005 t=692
biao shi 	標識	c=1 d=1 t=624
bing 	並	c=1 d=0.985112 t=962
bo ke 	博客	c=1 d=0.241714 t=962
bu 	不	c=8 d=1.25662 t=962
bu ren shi 	不認識	c=1 d=1 t=660
bu shu 	部署	c=4 d=1.57615 t=962
bu tong 	不同	c=4 d=3.3809 t=607
bu yi yang 	不一樣	c=2 d=0.998263 t=962
bu yong 	不用	c=1 d=1 t=482
bu zhou 	步驟	c=1 d=0.657047 t=962
can kao 	參考	c=3 d=1.54486 t=962
can kao shu 	參考書	c=1 d=1 t=753
cang ku 	倉庫	c=2 d=0.501576 t=962
cao zuo 	操作	c=2 d=0.752014 t=962
cha zhao 	查找	c=1 d=1 t=793
chang ku 	長褲	c=1 d=0.499074 t=962
chang yong 	常用	c=3 d=1.28295 t=962
cheng 	成	c=1 d=1 t=718
cheng xu 	程序	c=5 d=0.707341 t=962
chi dian 	吃點	c=1 d=1 t=754
chong 	衝	c=1 d=1 t=789
chong xin 	重新	c=3 d=0.856513 t=962
chu fa 	出發	c=1 d=1 t=656
chu li 	處理	c=8 d=7.46421 t=672
chuang jian 	創建	c=9 d=5.96142 t=962
chuang kou 	窗口	c=1 d=1 t=568
ci dian 	詞典	c=20 d=5.4479 t=962
ci ku 	詞庫	c=2 d=0.966565 t=962
ci tiao 	詞條	c=1 d=1 t=493
ci zu 	詞組	c=2 d=1.99005 t=738
cong 	從	c=2 d=0.955997 t=962
cun zai 	存在	c=1 d=1 t=786
cuo wu 	錯誤	c=2 d=1.98511 t=930
da kai 	打開	c=1 d=0.831104 t=962
da shang 	打上	c=1 d=1 t=691
dai biao 	代表	c=1 d=1 t=539
dai ma 	代碼	c=2 d=1.67706 t=784
dai ma duan 	代碼段	c=2 d=1.78663 t=732
dan 	但	c=1 d=0.484325 t=962
dang 	當	c=1 d=1 t=778
dao 	到	c=2 d=0.988087 t=962
dao chu 	導出	c=2 d=0.559898 t=962
dao ru 	導入	c=3 d=1.14571 t=962
dao zhi 	導致	c=2 d=1.18177 t=934
de 	的	c=30 d=5.8966 t=962
deng 	等	c=1 d=0.460704 t=962
di fang 	地方	c=0 d=0.0891366 t=962
dian feng shan 	電風扇	c=1 d=0.238115 t=962
dian ji 	點擊	c=1 d=0.313486 t=962
dian ying 	電影	c=1 d=0.276651 t=962
diao 	叼	c=0 d=0.1 t=914
diao ni ma bi 	叼你媽逼	c=1 d=1 t=915
ding qi 	定期	c=1 d=0.810584 t=962
ding yi 	定義	c=1 d=1 t=617
ding zhi 	定製	c=5 d=2.83626 t=962
diu shi 	丟失	c=1 d=1 t=598
dong feng po 	東風破	c=1 d=0.484325 t=962
du qu 	讀取	c=1 d=1 t=610
duan yu 	短語	c=2 d=0.591939 t=962
dui 	對	c=3 d=2.14295 t=816
dui xiang 	對象	c=1 d=1 t=679
dui ying 	對應	c=1 d=1 t=602
dui yu 	對於	c=1 d=0.272532 t=962
duo 	多	c=1 d=0.522046 t=962
duo ge 	多個	c=2 d=1.5886 t=709
duo la 	哆啦	c=1 d=0.822835 t=962
duo tiao 	多條	c=1 d=1 t=697
er 	而	c=3 d=0.600496 t=962
fa sheng de 	發生地	c=0 d=0.1 t=905
fa xing 	發行	c=0 d=0.0470011 t=962
fa xing ban 	發行版	c=2 d=0.954276 t=962
fan jian 	繁簡	c=1 d=0.33454 t=962
fan yi 	翻譯	c=4 d=3.74805 t=712
fang an 	方案	c=22 d=4.25563 t=962
fang bian 	方便	c=1 d=1 t=500
fang fa 	方法	c=3 d=2.47933 t=960
fang shi 	方式	c=1 d=0.548812 t=962
fang wen 	訪問	c=1 d=1 t=577
fei 	非	c=2 d=1.01416 t=962
fei tun 	肥臀	c=1 d=0.255381 t=962
fen bie 	分別	c=2 d=1.65377 t=795
fen duan 	分段	c=0 d=0.1 t=672
fen duan qi 	分段器	c=1 d=1 t=673
fu hao 	☑️	c=1 d=1 t=944
fu hao 	符號	c=1 d=1 t=873
fu he 	符合	c=1 d=0.733447 t=962
fu yong 	復用	c=1 d=1 t=503
gai 	該	c=2 d=1.02153 t=962
gai nian 	概念	c=2 d=0.429557 t=962
ge 	個	c=1 d=1 t=560
ge 	各	c=2 d=1.46648 t=962
ge ren 	個人	c=3 d=1.14749 t=962
ge shi 	格式	c=4 d=1.82337 t=962
ge zhong 	各種	c=1 d=0.349938 t=962
gei 	給	c=1 d=1 t=704
gen ju 	根據	c=1 d=0.790571 t=962
geng gai 	更改	c=2 d=1.75225 t=962
geng xin 	更新	c=2 d=0.814647 t=962
gong ju 	工具	c=2 d=0.766043 t=962
gong neng 	功能	c=2 d=0.615697 t=962
gong xiang 	共享	c=1 d=1 t=584
gong zuo 	工作	c=1 d=1 t=628
gou cheng 	構成	c=1 d=0.465334 t=962
gu tai 	固態	c=2 d=0.594521 t=962
guan 	管	c=1 d=0.479505 t=962
guan bi 	關閉	c=1 d=1 t=569
guan fang 	官方	c=19 d=5.19075 t=962
guan li 	管理	c=3 d=0.697676 t=962
guan li qi 	管理器	c=1 d=0.489192 t=962
guan wang 	官網	c=2 d=0.857535 t=962
guan xi 	關係	c=1 d=0.786628 t=962
guang gao 	廣告	c=2 d=1.99501 t=553
gui ze 	規則	c=2 d=1.36788 t=916
guo lv qi 	過濾器	c=1 d=1 t=743
han yi 	含義	c=1 d=0.562705 t=962
han yu 	漢語	c=1 d=1 t=489
hao 	好	c=2 d=0.640824 t=962
he 	和	c=9 d=2.57933 t=962
he 	鶴	c=1 d=0.396531 t=962
he bing 	合併	c=2 d=0.927743 t=962
hong gao liang 	紅高粱	c=2 d=0.546443 t=962
hou 	後	c=2 d=0.729789 t=962
hou mian 	後面	c=2 d=1.37531 t=935
hou xuan 	候選	c=2 d=1.97963 t=869
hou xuan ci 	候選詞	c=3 d=2.36856 t=811
hou xuan xiang 	候選項	c=2 d=1.99501 t=721
hou xuan xiang 	後選項	c=2 d=1.91851 t=719
hua fen 	劃分	c=1 d=1 t=681
huai 	壞	c=1 d=0.369723 t=962
hui 	會	c=3 d=1.78392 t=788
hun luan 	混亂	c=1 d=1 t=937
huo 	或	c=3 d=0.362773 t=962
huo zhe 	活着	c=1 d=0.26054 t=962
ji 	及	c=2 d=1.00592 t=962
ji cheng 	繼承	c=1 d=1 t=881
ji chu 	基礎	c=1 d=0.588605 t=962
ji ge 	幾個	c=2 d=1.21308 t=962
ji he 	集合	c=1 d=1 t=904
ji lu 	記錄	c=2 d=0.606531 t=962
ji xu 	繼續	c=1 d=1 t=740
ji yu 	基於	c=1 d=0.718924 t=962
jia she 	假設	c=1 d=0.677057 t=962
jia zai 	加載	c=1 d=1 t=630
jian 	見	c=0 d=0.1 t=652
jian jie 	簡潔	c=1 d=0.327915 t=962
jian ti 	簡體	c=4 d=0.913852 t=962
jian ting 	監聽	c=3 d=2.63071 t=649
jian xie 	簡寫	c=1 d=0.298197 t=962
jian yi 	建議	c=1 d=1 t=513
jiang 	將	c=2 d=0.582748 t=962
jiang wen 	姜文	c=3 d=0.831512 t=962
jiao cheng 	教程	c=1 d=1 t=924
jiao huan 	交還	c=1 d=1 t=665
jie guo 	結果	c=3 d=2.86481 t=713
jie shi 	解釋	c=3 d=2.25652 t=917
jin liang 	儘量	c=1 d=0.540641 t=962
jin xing 	進行	c=1 d=1 t=802
jin yi bu 	進一步	c=1 d=1 t=767
jiong yue 	囧月	c=1 d=0.683861 t=962
ju 	拒	c=1 d=1 t=664
ju ti 	具體	c=1 d=0.554327 t=962
jun 	均	c=1 d=0.856415 t=962
jun ke 	均可	c=2 d=1.38411 t=962
kai fa 	開發	c=1 d=1 t=941
kai men 	開門	c=1 d=0.23457 t=962
kai xin 	開心	c=1 d=0.650509 t=962
